Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr
Mid,507.1164,33.12612,13.158,535.107,9.37812,5.016,954.4752,11.4908,4.38064,373.9325,23.0724,10.62936,607.4562,1.67858,7.2197,144.8612,3.853577756,4.263655521,4.180943377,3.644923568,3.879701007,4.151473655,4.516838409,3.828362759,3.554062213,5.993001898,6.231428705,8.375107277,4091.9845
RV,626.583,39.16638,12.99712,461.3552,2.28988,1.4775,665.243,2.0124,0.40448,361.332,16.88704,9.0432,588.2327,0.81472,12.54912,139.4587,2.810505526,2.639228972,2.458674778,4.174802983,2.782144176,8.698045099,11.03393288,4.593122763,2.564312925,4.681386223,6.193726741,12.16630474,3777.841
RV,468.162,31.21196,11.70234,527.9462,9.13928,4.20756,620.8254,0.5001,0.1013,373.1048,21.5172,8.1972,581.3016,2.6208,3.39796,159.392,4.915923722,4.688500234,4.712558012,4.531927766,3.852428688,4.106665041,5.743513651,7.779278681,3.743747464,6.407069867,10.20609415,13.31859923,6060.06
Mid,511.744,28.7555,10.77062,512.04,7.21584,3.78708,695.6988,4.98,0.80864,321.536,23.84264,13.15512,592.006,1.68912,10.13232,172.3956,2.202420487,1.720483428,4.392634592,3.167683728,3.25310761,3.346630884,6.043572565,4.13061588,1.64688773,7.063357658,7.555079546,9.549279272,4081.77
Small,534.6255,29.46384,10.55548,517.4136,7.3365,3.5007,668.0668,8.39496,2.9562,339.7383,21.5982,8.24024,551.6352,1.32262,6.834,157.56,2.174848731,2.647757975,2.172154611,1.966223052,2.101977024,3.38258292,5.435762617,2.454201017,0.706442932,5.192164961,6.558291269,11.1962361,3729.152
Small,302.3846,24.23978,8.6241,584.486,7.58936,3.4944,746.9007,6.979,0.9842,324.9302,20.89568,7.65688,554.094,2.82464,4.4109,169.116,5.772598699,4.800088277,5.064705736,5.48070272,4.846903561,5.011229791,7.687140694,8.228902502,2.769810794,8.250020921,9.271026356,10.49713189,4070.475
RV,667.186,32.5376,11.6649,393.4595,0.88686,0.69356,751.8524,6.07972,1.61536,307.6095,19.54704,10.194,551.9493,1.5267,7.12656,140.58,3.677282235,2.986456502,2.780644536,3.663091606,4.538603886,6.279614596,8.242537763,4.361469665,2.415594803,4.08697618,4.660714706,8.298417206,3386.511
RV,487.55,34.1688,12.43472,526.449,8.71044,3.57192,622.7464,0.88758,0.20236,386.3548,21.92832,9.09272,593.9684,1.81764,5.22686,151.8784,5.149442602,3.16206677,3.947228042,3.707165724,2.512506419,3.70418958,3.965645617,4.304388952,2.815672076,3.803861984,7.629444615,11.70088836,2819.978
RV,487.697,35.1417,12.45208,534.876,8.5347,3.58704,621.8756,0.89892,0.19872,387.4829,21.77712,8.97078,603.6722,1.82556,5.34664,151.0728,4.956891439,3.006705108,3.957571931,3.654465819,2.504667085,3.370812518,3.876551285,4.018389877,3.046656597,3.708765434,7.711321582,11.80801755,2697.987
Small,532.004,29.94928,10.77172,516.4313,7.33212,3.4797,670.2044,8.26392,2.97,340.2839,21.12534,8.2585,549.4392,1.3078,6.67488,155.5476,2.188029632,2.557937276,1.994280679,1.990373181,2.172701634,3.246944694,5.52348042,2.51447118,0.706789908,5.273088598,6.860453379,11.674757,3657.472
Mid,546.5077,30.22416,9.886,733.46,2.8797,3.0192,505.515,11.99352,2.40528,288.7776,23.7072,11.78658,618.2718,3.29934,6.97866,150.315,2.303200458,1.769415178,1.979525451,2.030291054,2.09071906,2.560244733,2.55886339,1.583456936,2.460530204,4.14243998,3.593313859,5.663687347,2462.2345
Small,297.48,24.3264,8.4898,584.1374,7.74288,3.444,507.982,4.80298,0.4969,321.504,20.78714,7.8624,561.3275,2.75856,4.5264,173.3244,6.983999201,4.839633435,5.014866413,5.973190616,5.230860143,5.21305044,19.89498298,8.635244218,3.20318929,8.177844157,10.26432976,16.99138874,4188.828
Small,509.2384,23.28376,8.14536,706.5344,3.05474,2.11806,594.012,18.96544,5.85684,301.0034,16.40274,5.15712,565.0152,2.10756,3.4272,142.639,3.135806812,2.529902206,5.442499439,3.881706675,4.106278545,10.20952487,6.236356193,8.894788884,3.258918408,6.122596621,7.065832195,6.808560295,4295.5825
Mid,514.4237,33.8676,12.86388,537.568,9.22002,5.08,957.712,11.3436,4.3164,369.3446,23.41404,10.74168,609.1059,1.7068,7.31752,146.7008,3.651839318,4.394284846,3.935478944,3.519870691,3.994105021,3.867958381,4.222739115,3.680902662,3.650858358,5.939439815,6.409206799,8.506869043,4297.964
RV,465.0214,31.68308,11.0198,519.339,8.09996,3.89142,863.301,4.12542,0.09814,322.976,20.88216,9.0198,568.3587,0.4996,9.66336,168.0688,6.26113003,4.307341035,5.017984583,5.132839029,3.31653144,3.493168156,5.14975926,4.92634216,1.853736008,3.94153233,5.536809561,7.926537979,4214.947
RV,473.7789,34.7255,13.3489,492.3698,9.30412,3.774,812.8992,0.1986,0.19992,472.413,19.89296,4.16232,569.658,2.34094,4.87746,172.4706,5.782110612,5.778059186,6.574680004,7.954811147,7.692740397,13.10391238,14.76882383,3.530450814,2.570517752,3.638738405,4.42016453,9.169415399,2984.8
Small,302.5351,24.26388,8.4354,586.3452,7.54224,3.4391,752.9247,6.9104,0.996,323.288,21.18688,7.61376,559.3392,2.76192,4.4406,170.221,5.877658292,4.817561298,5.305882199,5.139988806,5.202360082,5.411296866,7.25167137,8.745360818,2.762582687,8.288834402,9.499422681,10.8581865,4260.087
Mid,469.9232,29.95272,11.12372,519.4436,10.194,5.75928,976.6504,7.0104,2.21716,342.176,23.09694,12.3464,607.2385,1.87264,2.39136,166.0648,5.567867338,5.20495954,7.288619758,7.965712229,5.893810474,7.915788541,10.05379619,6.153980378,1.977588845,7.865953614,11.05662612,15.11454892,5889.5415
Small,538.0495,29.6592,10.79928,512.0885,7.40512,3.5147,668.0668,8.274,3.0546,340.5567,21.4278,8.14894,552.4587,1.2922,6.72928,156.7332,2.162766238,2.642550978,2.070661838,2.083954933,2.11341777,3.379233828,5.304185912,2.449379404,0.697074583,5.207827601,6.877621681,11.75547137,3698.688
Mid,477.5232,26.1767,11.72626,565.2034,7.41332,4.26646,649.257,5.95074,2.20528,341.6238,25.79082,10.014,598.44,3.024,5.67264,164.141,6.452173952,6.118116312,10.553919,5.156040582,6.744688407,5.35905365,9.217729188,6.49799373,2.134258353,7.381315127,12.4846119,19.37665457,5257.9725
RV,403.8254,46.76078,14.30792,711.4176,10.89902,3.444,641.388,1.37424,0.61176,365.6788,19.45044,9.98712,576.1728,1.71632,7.8736,144.565,9.465180524,11.6786204,13.69830254,23.68644759,5.060706378,1.742128398,2.301822126,2.071710538,2.224761475,6.10045632,9.162659215,12.85825357,4414.032
Mid,488.0555,29.99664,11.362,522.7887,9.86076,5.8908,660.5004,5.27456,1.6745,337.4067,25.6743,13.581,615.615,2.73618,6.7252,157.4976,20.50037488,8.473375054,10.02484157,11.3801545,6.457948617,6.364365583,8.211823285,8.290191788,1.99645829,10.88042657,12.44636225,24.13549802,6960.195
RV,469.4484,32.46782,10.7954,520.5942,8.23772,3.91794,864.78,4.0303,0.09802,321.088,20.56338,9.171,570.3069,0.4904,9.45216,167.7515,6.130557125,4.052246081,5.067012278,5.207263954,3.364286858,3.526756312,5.054993714,4.977888341,1.876003108,3.984802645,5.909887081,8.289459593,4077.342
RV,352.6823,26.77866,9.23268,549.4615,7.82628,2.82016,921.8624,0.29922,0.09924,422.3893,19.20988,5.4594,606.9816,0.9045,8.22862,169.4112,11.03328815,9.850028892,10.47490794,12.17999548,12.90180381,19.10668597,12.78562068,3.576149506,4.278828897,6.593933202,8.798126208,12.69061404,7024.9185
RV,477.3816,31.96628,11.77168,524.7151,9.07488,4.66164,585.4716,3.5084,0.91404,357.264,21.0231,6.82272,580.0794,2.5688,5.32872,152.2231,4.790912513,3.423959664,4.676569499,3.597027019,2.380343073,3.104485875,4.296441478,4.302848737,4.739088975,4.122640091,5.448456194,6.996359663,2989.709
Mid,485,29.6,11.5,519,9.8,6,658,5.3,1.7,339,25.7,13.5,615,2.7,6.8,156,21.310161,8.3977949,10.3030232,11.0219414,6.4450585,6.3867191,8.1385761,8.0137185,1.9757133,10.984782,12.0662746,24.099349,7194
RV,671.608,31.7568,11.74446,396.0665,0.90918,0.69216,757.1514,6.07724,1.60064,309.0927,19.25368,9.84,549.9585,1.5246,7.27632,141.6308,3.796143883,2.759289026,2.839562586,3.747742882,4.324287126,6.684329882,7.827741394,4.613880058,2.579279872,3.942414112,4.635983465,8.240960311,3400.755
Small,538.9332,29.0116,10.4517,508.1154,7.4925,3.60432,637.1207,3.81444,0.89802,341.5251,20.89956,8.20164,544.3335,1.17864,6.83808,160.416,2.076114656,2.927951815,2.161934214,2.187431718,3.27105939,3.118486812,3.685561891,3.622130974,0.595153553,3.812766436,4.508923422,7.987164939,3451.674
Mid,543.5976,26.67346,10.21696,528.5248,9.3936,5.76752,554.0856,5.94366,2.29356,360.213,24.7008,12.60584,592.3434,2.48,4.4748,168.3696,4.480234282,3.925243395,6.93184796,5.87313432,7.02189777,5.53818651,6.927129124,8.158893454,7.118286703,10.52932377,10.9165488,14.71906378,5191.758
RV,466.7205,31.47942,11.87784,528.3144,9.27912,4.26384,617.4936,0.498,0.10074,373.6688,21.1001,7.9947,577.1112,2.56204,3.39932,160.432,4.900719834,4.844861367,4.609799394,4.676587804,3.718383266,4.05611525,5.592892066,8.332327244,3.830097354,6.302348072,10.80431068,12.15520846,5641.515
Mid,515.4816,28.45494,10.62082,509.643,7.25616,3.72552,685.5411,4.979,0.81328,318.816,24.00038,13.36632,593.54,1.70306,10.21312,171.14,2.100536862,1.751780752,4.102514401,3.306922574,3.236476181,3.23055331,6.1763644,4.28253714,1.658775755,7.042220428,7.669730151,9.652276121,4077.78
RV,603.7017,39.592,11.9544,463.3241,2.2793,1.61504,604.5456,1.82736,0.19912,327.7048,16.58978,10.72782,547.507,1.1844,10.4916,162.9674,5.1874798,4.764248653,6.502083718,5.807795422,4.24611222,7.657046639,9.802460464,8.237802811,4.055450361,5.530542657,#VALUE!,10.14913773,5152.0725
Mid,515.3064,30.98976,10.9436,544.4433,6.9272,3.61368,952.43,8.955,3.027,339.2712,23.11314,11.86136,556.9916,1.62912,6.9356,155.2015,7.248346008,5.440988231,5.491906182,5.418118309,4.082208746,6.929880518,5.838906913,6.897826137,1.849977069,5.254560643,6.7325619,13.3578408,2468.392
Small,537.7518,29.0174,10.6344,511.6137,7.4625,3.55464,633.5871,3.73692,0.89496,345.8469,21.39372,8.18524,544.4433,1.19424,6.9156,160.192,2.012775565,3.116803196,2.166380351,2.079132403,3.235661797,3.222948439,4.026211737,3.839532528,0.588744207,3.919561368,4.428118343,7.677284631,3431.8575
RV,407.9361,47.14864,14.1858,710.63,10.50312,3.4384,645.4515,1.40672,0.60204,364.1741,19.17496,10.06632,574.7328,1.67416,7.9328,143.9125,10.26581593,11.14487322,13.83828519,23.82006345,5.060706378,1.686795287,2.192211549,2.115194717,2.095390216,6.542103939,8.545394547,12.20305593,4567.297
Small,501.9519,26.51844,9.7515,543.564,8.45376,4.11684,584.298,5.22474,1.87416,339.9604,22.09344,10.07028,563.9008,2.38896,3.66374,147.0676,3.730292669,3.036408866,5.945680925,4.364510415,3.921608285,5.836650171,5.396266181,4.917348982,6.597882104,4.505675919,5.81616589,12.38897886,4245.714
RV,477,31.37032,11.96756,532.174,9.1908,4.6598,592.9392,3.4755,0.9099,360.9,21.04866,7.0035,586.4232,2.62392,5.346,150.9245,4.845870611,3.270110616,4.44171496,3.450605615,2.342228075,2.988846,4.235095042,4.084618131,4.686457856,4.000003301,5.440567502,7.0214748,3068.2235
RV,610.0353,39.24,11.8944,466.7503,2.254,1.6112,600.1824,1.76688,0.20332,328.9184,16.6165,10.9033,546.3625,1.2,10.605,163.326,5.492468298,4.868304006,7.154683818,5.55952751,4.23783923,7.699287117,9.385436474,8.135420941,3.890562738,5.581101198,#VALUE!,10.83169743,5390.0685
Mid,551.376,30.15772,10.092,724.1416,2.84664,3.0582,503.6539,11.9298,2.3832,285.84,23.5344,11.91528,614.3486,3.27624,6.8655,150.405,2.246859938,1.645828858,1.987376816,2.045081907,2.17878367,2.694719597,2.687004716,1.498234842,2.312757656,4.566691974,3.449653135,5.69048713,2468.487
Mid,547.911,25.95284,10.37712,528.4196,9.3499,5.8812,548.1899,5.8705,2.33634,357.6426,25.22656,12.50416,600.0447,2.4825,4.3164,169.3944,4.396831352,3.870968425,7.293324694,5.62707782,6.806587354,5.847722614,6.860623084,7.600986578,6.908101072,10.38357179,11.21359775,13.56683158,5132.556
RV,404.8022,46.76078,14.48116,713.7088,10.67218,3.4916,651.192,1.3986,0.59196,367.9542,19.70652,9.77724,572.832,1.67042,8.0944,144.4635,9.774628564,11.42335001,12.93173086,24.75537446,4.742422958,1.67382659,2.191104371,2.06653385,2.111296519,6.16400274,9.057592888,12.10855627,4227.9245
Mid,506.88,29.26992,10.71712,508.215,7.26336,3.74756,685.472,4.96,0.80272,319.104,23.68012,12.96768,586.283,1.67416,10.0394,172.8944,2.219762381,1.786555556,4.457105745,3.325156232,3.331275329,3.279600172,6.352390785,3.97253565,1.61994154,7.042220428,8.049263189,9.706226851,3978.03
Mid,486.0185,29.6592,11.4701,523.7229,9.8784,6.1164,657.0788,5.40282,1.6813,341.6442,25.34534,13.5405,618.198,2.73186,6.91016,154.596,20.4364444,8.80928685,10.28756867,10.7959916,6.541734378,6.1025101,7.772340176,8.045773374,2.020166849,11.34178742,12.1145397,23.4366169,6938.613
Mid,471.4336,27.82196,11.088,580.2599,8.3759,4.8608,677.1183,7.94664,3.24672,320.7226,25.7754,10.9494,595.3506,2.57192,6.25084,149.9089,2.86821429,2.102835047,5.548142283,4.605155201,4.873251415,4.230508548,4.781363,6.101696866,1.554377451,5.609893125,8.138738241,11.13313227,2735.2535
Small,353.8284,21.82554,8.36236,554.895,6.27812,2.76192,859.7664,9.56614,2.82632,327.3924,21.86496,10.40708,556.2144,2.4515,2.32162,150.57,3.220582438,4.118531693,5.148204871,6.11533187,5.973323408,7.564399861,7.29389953,6.531445986,2.350862275,4.884387402,10.95072291,10.90991352,4085.515
RV,404.7208,47.75408,14.31076,721.1552,10.56946,3.5504,651.192,1.41036,0.59376,365.6421,19.76084,9.70992,578.304,1.70238,8.136,144.826,10.00548663,11.87587479,13.85161687,23.77147586,5.121914728,1.695441086,2.199961792,2.157643558,2.221580214,6.179889345,8.987548671,13.21105229,4271.7145
RV,356.3535,25.82134,9.55604,549.7897,7.7154,2.80672,921.7708,0.29502,0.09894,416.9584,19.52416,5.34384,614.8764,0.88866,8.2253,166.5888,11.12063728,9.860105648,10.96063955,12.21203124,13.2979959,18.2985482,13.32437757,3.609728375,3.939829893,6.795994485,9.659513434,13.68647017,6595.4475
RV,506.253,30.97248,11.0726,474.9528,7.362,3.46664,632.4588,0.5099,0.60672,354.8142,19.3635,8.24544,556.3998,0.707,7.545,174.9125,5.823245131,5.498897625,5.52275653,6.581346388,5.506154754,7.197462033,8.275599461,6.638128101,3.590034575,5.025707857,8.84247421,11.77188742,6256.2715
Small,539.0943,29.0116,10.2963,509.9913,7.464,3.65616,627.9081,3.74908,0.8874,340.3246,21.3213,8.15244,552.1842,1.17936,6.90608,161.52,2.046958566,2.884138294,2.19972638,2.0501811,3.090853462,2.92031696,3.989644804,3.710565505,0.632694007,3.734075433,4.779043259,7.828351281,3743.517
Small,522.7368,24.5,8.43024,543.256,7.3368,3.27954,721.5182,7.26088,2.40096,312.744,20.95432,10.11024,591.591,2.69298,5.40324,151,3.097365606,2.53034438,4.602671562,4.584358505,4.492840956,4.88446579,5.608775355,5.762266618,0.479085501,4.873825317,6.671848911,12.22548912,3857.2995
Mid,509.184,29.24102,10.65292,507.45,7.30368,3.7924,695.9752,5.024,0.8112,319.616,24.08164,13.068,587.817,1.71632,10.302,171.7592,2.142807728,1.816983509,4.375442284,3.285373705,3.444369049,3.202760089,6.383272607,4.10598,1.65956829,7.098586375,7.527405262,9.534565436,4135.635
Mid,507.0142,33.84088,12.78906,529.9175,9.19212,4.983,954.7608,11.3781,4.3384,369.5311,23.06772,11.00304,607.2729,1.69796,7.37154,146.0584,3.831162374,4.490650742,4.046139139,3.700093955,4.098473594,3.950987854,4.437826659,3.725700666,3.557714898,5.921585788,6.26821038,7.913941094,4162.06
Mid,476.4284,26.341,11.662,557.8412,7.44292,4.3731,646.677,5.81622,2.17888,344.4282,25.1482,10.098,601.68,3.0588,5.6943,164.63,6.4183285,6.203812788,10.64084566,5.180841162,6.312460647,5.564030035,8.647280329,6.545873684,2.198672589,7.269422331,12.9687091,19.17421191,5252.5935
RV,447.4176,31.34348,11.55726,548.43,9.4867,4.32924,611.6796,1.494,0.09926,373.5,21.672,8.26068,585.4737,2.74806,3.3898,156.657,5.477829446,4.614390149,4.427395271,4.094669516,4.483008749,6.346405852,5.084582915,6.168543781,6.748030915,6.248896606,7.467949231,13.590124,6022.412
RV,488.824,34.3827,12.22144,524.912,8.79048,3.63096,628.22,0.91656,0.20296,386.5493,21.46608,9.07634,598.2812,1.8018,5.27562,151.5136,5.021942508,3.102663781,4.152037045,3.543614295,2.564768643,3.504868903,3.652867641,4.096576674,3.06712358,3.481996739,7.31310179,12.34366351,2889.4845
Small,504.6338,23.93984,8.2539,697.8752,3.15518,2.13906,591.003,18.706,5.83016,301.698,17.00728,5.01432,569.4708,2.11092,3.45712,141.6308,3.018973473,2.65347411,5.512172007,3.850465575,4.205121461,10.07472919,6.10097943,8.415872204,3.24165885,5.914947459,7.009248954,6.959414659,4504.86
Small,504.735,23.84544,8.06274,702.8032,3.04916,2.09706,593.599,18.6496,5.713,303.9026,16.52298,5.16732,569.5272,2.13906,3.41904,142.1846,3.1155557,2.729211728,5.447858867,3.754789706,4.168592557,9.755213496,5.8964101,8.755467668,3.167913464,5.942430436,7.288628706,6.768332465,4148.8725
Small,302.4147,23.6421,8.4354,577.2235,7.70184,3.5238,759.2499,6.9972,1.012,321.2272,20.62944,7.79548,562.2966,2.8028,4.4433,168.3,5.684575797,4.825049735,5.062084252,5.464731755,5.113495952,5.317774693,7.532143138,8.560296588,2.988099641,8.323335274,9.182464515,10.6192533,4045.743
RV,466.7456,31.30028,10.9978,520.9603,8.3312,3.90078,866.955,4.10902,0.09968,320.096,20.50956,8.9478,571.7394,0.4912,9.46176,167.8684,6.582785235,3.997881582,4.843936266,4.790484371,3.351112949,3.578022444,5.187166712,4.968070021,1.824046543,3.89432835,5.802485977,8.611140114,4221.298
RV,490,34.5,12.4,530,8.7,3.6,622,0.9,0.2,389,21.6,9.1,599,1.8,5.3,152,5.2040855,3.0463071,4.1375556,3.6344762,2.6131112,3.5277996,3.7912482,4.1150946,2.9238547,3.6575596,7.4433606,11.9032435,2837
Mid,540.813,26.75236,10.37504,521.2134,9.3784,5.90324,550.6143,5.96844,2.27332,357.9639,24.82976,12.37272,596.7015,2.5285,4.47304,167.2776,4.212917201,4.002779067,7.257885798,5.568492939,6.862151332,5.384812765,7.137148198,7.569332288,6.813517538,10.09206784,11.4249595,13.65114125,5045.04
Mid,506.919,29.4216,11.96932,536.058,9.08776,5.66384,940.6236,9.902,3.35512,348.4176,25.8009,13.46984,604.788,1.28778,7.86366,152.38,0.553026597,0.446500668,0.406290135,6.57475772,6.210407624,5.926830854,4.518770011,5.502475058,1.962423541,3.955067686,6.108809462,8.126091192,5112.641
RV,470.529,35.26994,12.93756,492.2216,9.2402,3.69852,819.9168,0.20304,0.19888,467.5146,19.8364,4.059,566.124,2.25814,4.97154,170.316,5.654313472,5.925982331,6.587679866,7.918077796,7.635587794,13.3183046,14.0655465,3.327869772,2.765233458,3.701705561,4.239837274,9.50476497,2944.032
RV,466.674,31.40478,11.6064,520.8978,9.05648,4.11684,618.1106,0.5084,0.09994,375.624,21.6247,8.15346,581.3598,2.5662,3.44488,160.48,5.078098525,4.879867591,4.714947747,4.461858059,3.714710789,4.134972924,5.422377064,7.946006557,3.726477486,6.578432806,10.2216998,13.35038586,6015.8475
Mid,541.6394,29.97652,9.946,720.72,2.90348,3.039,503.8048,11.77404,2.40672,287.856,23.5296,11.73978,608.6477,3.29538,6.8103,150.51,2.216436057,1.733617761,1.939287204,1.949434392,2.107027321,2.50279916,2.556221301,1.587261493,2.440592638,4.492719831,3.519687738,6.199682995,2377.2005
RV,472.707,31.34496,11.94868,524.5035,9.154,4.65796,591.4692,3.5091,0.88884,363.24,21.01884,6.77856,579.2646,2.63068,5.38812,151.453,4.563911671,3.276657384,4.569402865,3.637601625,2.565999996,3.0481485,4.193467103,4.278143385,4.537717739,4.218705576,5.103983336,7.387438228,3095.9345
Small,354.5048,21.5496,8.16884,544.885,6.12436,2.772,862.4448,9.6418,2.7804,328.8639,21.99198,10.4304,555.489,2.488,2.33956,148.65,3.194856368,4.244867021,5.172100613,5.79440208,6.251081421,7.481921981,7.103561433,6.511328596,2.428217126,5.024873121,11.07258224,11.21296667,4150.7725
Small,506.4048,23.35928,8.24418,703.0144,3.11922,2.09454,593.363,19.05568,5.70024,299.6746,16.72672,5.00208,565.974,2.06682,3.35376,142.2556,3.001837917,2.545846967,5.238841163,3.877801538,4.435038679,9.840084852,5.854292885,8.999279796,3.047096557,6.037094025,6.719259845,6.49344229,4498.3875
RV,407.1221,48.17032,14.32496,718.4344,10.56304,3.5392,641.13,1.3916,0.61176,367.0734,19.28748,10.01682,573.8112,1.68028,7.872,145.1305,10.2707278,11.20869081,13.23169369,24.99831238,4.7742513,1.73175344,2.246463249,2.134866131,2.144169543,6.64060089,8.812438127,13.22365225,4262.9565
