Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,
Mid,3758147.334,4378794.312,3994268.106,3687015.016,4028438.827,4101474.837,4302660.296,3748128.324,3651730.242,5996836.212,6096655.219,8226089.426,2568504.72
Mid,3760425.839,4300225.325,4103031.001,3754426.804,4017361.253,4045202.731,4428725.026,3724476.321,3597685.503,5839657.95,6228993.626,8168938.022,2559548.38
Mid,3825996.033,4262832.759,3931167.06,3747527.001,4016072.45,4055431.214,4348431.413,3811125.924,3679238.111,6049477.624,6007372.488,8091130.162,2504463.9
Mid,3738596.448,4274772.693,3962845.336,3685867.677,4059741.862,3973193.126,4441050.874,3771050.124,3728805.014,6024796.684,6143050.609,8337303.325,2555421.36
Small,3115555.69,2657460.29,5359428.25,3905137.53,4297518.13,9984865.41,6016745.01,8707576.01,3138101.47,6107328.34,7072905.1,6704638.41,3790000
Small,3071024.173,2698586.111,5230606.858,3898874.833,4391580.817,10196468.23,5993475.949,8672071.262,3139375.761,6012360.787,6899542.366,6839858.46,3847145.65
Small,3173715.741,2634658.795,5400588.762,3912667.396,4315924.753,10225813.93,6149692.324,8880285.495,3182591.392,5960429.169,6944705.516,6761986.563,3806233.96
Small,3133453.258,2631388.497,5424161.135,3917451.391,4296719.819,9822049.965,5964600.717,8828757.475,3093673.204,6187558.859,7116886.136,6836287.283,3822051.77
Small,3093065.644,2629697.409,5358827.018,3909788.467,4237289.64,10059471.98,5931754.965,8626766.205,3186593.014,5965723.661,7195557.734,6639868.674,3720717.55
Small,3087835.295,2658609.762,5333115.11,3858594.492,4397832.969,10087806.08,5922496.043,8785611.29,3144244.143,6042688.307,6973550.047,6624313.797,3857563.89
Small,3071863.424,2691280.365,5428434.496,3951109.032,4324740.953,10127922.39,5973442.746,8764434.104,3199432.084,5956020.579,7000042.369,6634600.254,3733034.12
Small,3107429.868,2687511.664,5481391.966,3919288.69,4207650.253,10056353.78,6058981.707,8585203.513,3135186.415,6095119.313,7215620.514,6778879.827,3745356.34
Small,3082403.888,2615572.98,5261661.361,3824359.351,4382949.683,10114055.18,5891236.782,8753756.775,3154907.33,6240569.071,7192668.502,6758906.945,3761542.62
Small,3074482.163,2720630.483,5480013.284,3923745.471,4365181.965,10128073.46,6036582.394,8568312.283,3125984.222,6131100.683,6933109.418,6629345.124,3833840.47
Small,3151856.731,2627723.426,5258272.803,3909094.493,4338513.996,10142462.07,6123601.155,8773209.353,3070453.884,6146203.007,6997905.648,6614869.909,3783479.32
Small,3171386.971,2642477.343,5337283.3,3870679.671,4266085.162,9873035.69,6165254.945,8696080.18,3081963.143,6236692.035,7141192.909,6544726.975,3700414.24
Small,3045923.724,2645623.09,5468856.637,3966762.833,4222109.149,10053503.2,5904550.88,8844781.344,3158435.97,6154962.224,6964782.151,6856434.36,3877977.9
