Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW
Small,5678896.91,4992291.51,5242966.57,5323654.94,5077950.3,5195676.29,7380836.03,8607638.55,2891243,8625217.89,9322298.98,10619253.25,3800000
Small,5613453.26,5090428.051,5192060.539,5420941.698,5187391.647,5188392.249,7324462.323,8496960.583,2840540.844,8464324.467,9526030.8,10504595.03,3811026.52
Small,5571249.536,5073837.06,5366127.672,5401130.846,5079109.963,5318329.427,7423487.964,8576251.914,2823692.605,8673864.148,9113512.383,10499839.9,3821179.36
Small,5594928.695,4910641.977,5337363.331,5327244.852,5184041.367,5198725.925,7424123.21,8683549.892,2903203.024,8741086.784,9256824.376,10831234.3,3802617.04
Small,5572025.681,5103281.059,5130686.326,5284450.641,5029492.459,5141412.442,7428319.929,8629092.681,2898071.912,8703353.996,9435469.446,10574816.57,3711232.74
Small,5608666.652,5035970.852,5264529.633,5373759.662,4965977.853,5074235.076,7250785.158,8461765.076,2922210.216,8808212.029,9259652.097,10359969.87,3714701.15
Small,5721616.94,4942538.335,5210135.838,5404451.124,4984020.89,5135790.388,7238141.154,8713692.864,2825492.653,8436000.392,9401277.481,10764305.85,3838769.85
Small,5704775.678,4897376.307,5229653.044,5339987.105,5096551.394,5244881.712,7296754.711,8470962.282,2898163.787,8740824.899,9126252.478,10558822.01,3786598.77
Small,5759732.248,4970225.464,5257472.218,5373525.545,5071180.785,5074224.066,7472742.309,8803391.371,2867782.455,8446921.282,9422333.411,10556106.67,3831554.38
Small,5666244.195,5097498.871,5257885.548,5396699.269,5173888.508,5166681.069,7493948.768,8731138.485,2863736.818,8647845.66,9275064.652,10513208.73,3749292.93
Small,5583881.033,5013579.589,5163700.031,5210892.857,5088174.407,5187340.27,7337915.624,8606550.258,2937270.752,8803670.183,9498890.149,10515507.82,3876890.87
Small,5551849.849,4965712.176,5209377.777,5353152.406,5193438.792,5176334.655,7202440.787,8504486.843,2826027.8,8586341.104,9551984.01,10605514.57,3821925.37
Small,5570647.885,5070834.313,5119259.581,5419639.473,5118922.375,5168771.704,7396068.849,8703775.252,2906434.246,8800708.115,9449596.476,10866262.79,3845364.78
Small,3863586.43,2901489.56,6258611.48,4214882.13,4097814.29,5919523.54,5223878.15,5038267.42,6684784.25,4558094.02,5646762.98,11849812.35,3560000
Small,3895985.28,2935845.145,6317712.888,4210664.841,4132749.871,5958180.699,5205070.798,4985895.574,6578698.994,4671315.278,5779141.316,12031678.47,3540784.87
Small,3846544.601,2964641.845,6231941.186,4315373.124,4081429.754,5858183.376,5203143.536,5003762.003,6562745.822,4466605.925,5740688.601,11735703.92,3509571.5
Small,3802002.478,2860436.285,6154938.172,4193582.792,4089010.635,6055634.366,5273859.504,5035821.329,6835246.622,4549350.923,5586319.526,11688969,3613780.47
Small,3786336.839,2926440.228,6317244.291,4148372.442,4191960.104,5966448.156,5235403.29,5117929.272,6539832.437,4613662.789,5562119.756,12064093.14,3499544.11
Small,3918163.531,2926048.807,6165996.421,4316657.3,4045931.96,6038773.262,5260224.788,5023392.847,6721681.081,4588352.152,5730030.831,11611619.43,3614976.03
Small,3818329.493,2962666.461,6353013.603,4273995.353,4026909.061,5898248.57,5129013.378,5071482.204,6518385.083,4454311.122,5748923.091,11883171.44,3590398.98
Small,3940017.97,2934423.686,6248840.871,4175871.656,4188812.149,6011404.014,5105425.24,5110133.77,6778037.216,4571657.972,5692266.133,11939967.53,3551727.06
Small,3785543.714,2836252.914,6390352.698,4182068.422,4159505.618,5811843.668,5232162.412,5087995.166,6718900.511,4471149.333,5627099.441,11891080.19,3629786.59
Small,3809657.914,2856070.485,6389983.068,4295121.355,4183957.714,5984476.765,5121090.847,5078821.524,6547412.447,4493145.179,5518214.366,11622466.23,3473056.51
Small,3917171.596,2860956.126,6161785.258,4196928.779,4103653.548,5986127.817,5254171.624,5081246.04,6620759.121,4650856.931,5599944.104,11599094.94,3573696.37
Small,3833177.999,2914989.981,6236921.585,4133901.888,4136837.764,5812382.912,5279446.398,5000406.392,6545151.539,4671310.891,5678839.587,11845862.01,3488261.9
Small,3847030.176,2952795.014,6409261.931,4141210.71,4081093.893,5920642.065,5201344.859,5098960.474,6841975.995,4603017.093,5781148.074,11592546.15,3514519.45
Small,2196816.87,2603498.5,2092634.53,2012510.76,2080135.61,3349092,5482362.72,2410806.5,693951.8,5220879.76,6867320.69,11530624.18,3360000
Small,2205469.699,2639385.431,2144635.045,2002794.84,2101675.906,3316087.144,5353872.116,2428224.069,699972.3971,5288465.848,6735307.03,11734149.57,3385337.42
Small,2214689.88,2548164.533,2118805.857,2047820.992,2041919.08,3367010.2,5526397.234,2449724.283,678493.7917,5199310.328,6980103.169,11796744.25,3290966.2
Small,2178543.263,2539406.873,2065277.416,1966917.548,2054647.269,3284249.941,5536620.395,2361140.874,704483.6799,5268072.731,6818016.741,11525495.39,3413025.18
Small,2163026.072,2657056.137,2056180.447,1968482.993,2035598.143,3392542.316,5600285.627,2433396.017,684264.8444,5256279.078,6710789.873,11815072.82,3437195.49
Small,2174164.293,2601576.717,2059350.403,2056164.385,2086135.398,3366641.069,5583726.5,2409541.744,693271.2712,5252257.373,6816965.701,11807118.49,3331644.65
Small,2247239.929,2570272.074,2120466.333,2052154.474,2116462.758,3327746.146,5473123.695,2412784.419,679302.8763,5179877.817,6741197.299,11757895,3434700.09
Small,2198360.435,2545989.334,2061262.358,2015500.757,2080852.36,3361981.873,5515918.91,2379588.881,703585.7609,5194413.562,6912328.612,11271850.25,3412851.1
Small,2142170.191,2590356.407,2087885.699,2003055.731,2075328.324,3301404.118,5516394.041,2384744.499,684547.5818,5103110.045,6723437.462,11744800.68,3345305.15
Small,2241576.12,2651829.585,2116058.707,2046046.889,2031188.571,3303695.177,5480828.885,2449563.643,690774.2056,5302611.947,6992787.629,11412640.31,3374343.44
Small,2152915.993,2543504.195,2090716.116,1976833.279,2051702.235,3407505.492,5387768.002,2453295.966,699958.3581,5220642.588,6945560.617,11664908.23,3289595.25
Small,2203225.01,2643830.907,2123364.629,2041002.035,2127046.031,3324377.72,5346250.922,2387069.828,693243.4753,5232998.928,6768017.904,11597215.24,3392430.18
Small,2199158.817,2564769.853,2097781.166,2026204.74,2128513.848,3310415.464,5401325.744,2419034.944,704587.0842,5090380.026,6812991.573,11456267.23,3368346.34
Small,2010764.81,3021622.11,2223068.59,2144540.93,3217963.04,3072400.84,3849150.84,3684772.14,610413.88,3747190.56,4617433.11,7747007.67,3580000
Small,2040796.847,3043127.673,2220878.396,2132120.724,3141096.489,3047806.722,3816174.592,3669629.673,598664.6368,3805503.896,4600476.467,7838406.563,3535184.51
Small,2059753.569,3031202.738,2192449.834,2183360.36,3250105.278,3044472.961,3881374.477,3652509.75,615583.7742,3692478.647,4611154.764,7730236.34,3548763.16
Small,1976054.177,3027351.613,2240399.156,2109237.372,3238389.627,3085327.876,3786142.237,3738828.449,615460.5572,3732835.811,4576112.976,7771284.916,3522155.95
Small,2018095.121,2997423.423,2224096.833,2117963.497,3247829.03,3137684.815,3891569.132,3736048.582,607187.5355,3691835.472,4530362.872,7627460.4,3596829.2
Small,2034301.502,3054890.893,2168826.977,2126474.235,3279006.371,3041698.797,3835252.089,3762807.249,609806.7486,3762313.533,4608552.436,7731748.902,3579821.5
Small,2015781.59,3087896.476,2228367.334,2174296.586,3240627.449,3135442.984,3915692.97,3760809.959,609236.3002,3717900.463,4513961.202,7739495.283,3600387.29
Small,2009183.537,2979348.236,2218272.549,2091574.723,3174512.823,3101532.327,3865455.008,3769503.585,604342.0484,3761899.4,4698004.724,7745098.128,3499285.4
Small,2001495.445,2967098.213,2233781.446,2153313.713,3275455.754,3137062.624,3833566.483,3701567.268,599852.9187,3672219.577,4535235.212,7875104.505,3637486.3
Small,2012859.116,3084932.557,2196352.848,2162338.396,3168742.287,3099586.713,3777018.114,3762362.586,621445.2738,3811063.102,4565781.355,7790218.475,3571889.91
Small,2016590.905,3096982.888,2270879.888,2098549.152,3222939.666,3101904.306,3943477.071,3691960.514,595600.5216,3657455.695,4555977.394,7746708.875,3556674.69
Small,2026295.949,2959841.569,2173631.438,2156556.38,3251185.73,2995973.252,3792428.425,3665811.734,595360.2443,3734612.543,4675885.955,7885516.347,3649642.38
Small,1970676.79,3065074.542,2270169.745,2099096.715,3170979.73,3102935.283,3782210.498,3748703.161,604865.5002,3829054.822,4543622.339,7798771.443,3638647.43
Mid,2852525.39,2151237.92,5370902.47,4812074.44,5016213.5,4077598.6,4993590.64,5813908.41,1601625.43,5739021.1,8394779.03,11501169.7,2020000
Mid,2900656.36,2118383.581,5437544.856,4769783.852,4928544.802,4094542.147,4921225.664,5846909.351,1603599.515,5637651.117,8256071.95,11752815.65,2010030.16
Mid,2867569.354,2179716.883,5432751.562,4843260.756,5110679.706,4063402.911,5065764.095,5720095.593,1591664.477,5784701.092,8227601,11765010.46,2003337.52
Mid,2865352.523,2147564.28,5381511.753,4867866.072,4963777.82,4172739.965,5050079.746,5905139.054,1597282.402,5629321.113,8587219.867,11497087.14,2054093.72
Mid,2922852.362,2103851.917,5409992.552,4776486.674,4978648.636,4049229.908,4971399.659,5934291.411,1572544.672,5642343.375,8492528.662,11768734.08,1982706.43
Mid,2845506.91,2111341.324,5289605.691,4840508.674,4920070.753,4020247.233,5014354.364,5738005.368,1590813.378,5789977.538,8203453.34,11477281.6,1998268.56
Mid,2800678.342,2185685.225,5482868.941,4872304.504,5111245.512,4010070.674,4937525.785,5678998.236,1590185.435,5633875.881,8471192.775,11380389.05,2044063.47
Mid,2799874.813,2103925.175,5251118.622,4838222.768,4953111.619,4139061.122,5068791.963,5740538.696,1574697.339,5655540.47,8405436.545,11431565.37,1975513.33
Mid,2799527.913,2097487.907,5385505.906,4772860.549,4893350.641,4166218.684,5107606.388,5928158.683,1614583.924,5802651.752,8259190.135,11619925.85,2060937.05
Mid,2781326.108,2176394.989,5353106.456,4720882.289,5080661.823,4076376.035,4944835.818,5833656.328,1595568.901,5704452.611,8413143.886,11541881.32,1995794.72
Mid,2815251.541,2117090.632,5307609.376,4853788.177,4936548.3,4023415.482,4970075.908,5791477.81,1619429.564,5693382.112,8594897.237,11388499.01,1969711.36
Mid,2806413.005,2167867.478,5497764.645,4885033.648,5032715.489,4105575.49,4921515.447,5703409.752,1623270.114,5671449.913,8553164.146,11263325.54,2068390.15
Mid,2796936.544,2182189.49,5377859.87,4715116.745,5110703.982,4038226.835,4951980.528,5930567.003,1636131.094,5782550.056,8198751.969,11633304.24,1997466.23
Mid,2167736.65,1738740.17,4298076.92,3315210.62,3326285.93,3269790.76,6176364.38,4105980.04,1585070.02,7045743.33,7906938.31,9809223.71,2930000
Mid,2117020.594,1718902.715,4402064.796,3313635.805,3405069.204,3230416.519,6082570.581,4130427.345,1578921.35,6890916.519,7856433.267,9722207.434,2879097.12
Mid,2204001.019,1746472.434,4211580.058,3259674.745,3352996.078,3299470.676,6115644.575,4167054.196,1579066.669,7044403.254,8004507.767,9885277.2,2953107.62
Mid,2128848.98,1754853.606,4315686.252,3383624.067,3393985.07,3324225.251,6301746.505,4013831.864,1589898.062,7080550.858,8010136.129,9838010.292,2976942.43
Mid,2206647.2,1704434.255,4324717.934,3385094.22,3347796.058,3205539.796,6151904.283,4127421.703,1616820.172,7118171.343,7979223.709,9730866.928,2987920.4
Mid,2160082.258,1697410.169,4328984.486,3332668.627,3394785.026,3351322.643,6328710.564,4146174.591,1594396.094,6915750.132,7948271.587,9756142.324,2974089.68
Mid,2143960.903,1725427.864,4366943.022,3254200.859,3387674.914,3313095.89,6203432.374,4027856.519,1617332.199,6986247.737,7981670.354,9952875.333,2945827.57
Mid,2155059.302,1697936.807,4374888.042,3242285.718,3304989.863,3267826.256,6041780.638,4078834.863,1588637.229,7085199.747,8086599.009,9707907.748,2956491.86
Mid,2178130.027,1715198.994,4279546.997,3342762.916,3281574.268,3208268.998,6087484.202,4167530.724,1609445.123,7200177.82,8049094.464,9833219.458,2891257.66
Mid,2147964.094,1768082.211,4350353.675,3356240.757,3312609.85,3304373.739,6117545.091,4116282.799,1584320.766,7122244.879,7921537.104,9793721.486,2975215.25
Mid,2130819.846,1721902.299,4343547.663,3314657.066,3388164.228,3209917.132,6159960.365,4083715.565,1580958.741,6956944.189,7785532.697,9896667.243,2944186.73
Mid,2124208.785,1741075.156,4338717.785,3259579.208,3391839.259,3339626.379,6099018.442,4057462.2,1597243.742,7173528.801,8021931.552,9742028.631,2893677.92
Mid,2178622.279,1710335.482,4220706.2,3358507.694,3374864.321,3318252.994,6281965.652,4008244.254,1598504.04,7114576.902,7925489.671,9624473.98,2948551.94
Mid,552198.31,442737.37,414793.37,6739884.86,6465807.03,6232209.14,4699708.81,5381393.69,1889671.23,3806609.91,5956908.25,8377413.64,3500000
Mid,554376.3572,450134.2874,405373.2098,6694533.841,6483003.798,6280200.808,4647933.895,5444663.037,1934378.452,3856504.844,6100523.394,8175217.705,3433822.14
Mid,547994.3678,433848.3672,407554.993,6711630.089,6308995.792,6364589.276,4800748.615,5250870.507,1855451.142,3723498.554,5827044.571,8375551.697,3540222.83
Mid,540814.4385,442872.0354,414217.4615,6892838.055,6540666.692,6133563.747,4789611.323,5417051.396,1886950.053,3886519.824,6003859.88,8445710.928,3413717.93
Mid,565242.5735,436063.1333,404707.421,6767665.165,6341175.435,6337388.304,4637530.489,5453742.748,1894763.733,3718923.571,6016333.726,8414462.578,3470322.62
Mid,558834.4863,436716.5377,419692.567,6788194.858,6484719.652,6118817.956,4751530.421,5441756.804,1901262.19,3794828.307,5895092.62,8430842.753,3578992.25
Mid,565007.3433,452570.7237,415972.2577,6629609.212,6579322.251,6101015.787,4594322.223,5277009.766,1933413.101,3834757.99,6085604.402,8186682.355,3574038.57
Mid,542727.8429,433751.478,424392.7416,6576603.574,6431118.178,6260502.919,4757902.062,5316068.377,1869992.678,3836528.614,6021034.006,8434420.464,3461771.83
Mid,544716.7569,447933.34,414586.0496,6691375.45,6503387.937,6210354.528,4666595.033,5376291.9,1868392.98,3875844.271,5981961.869,8552414.113,3467816.74
Mid,564921.6693,452126.0838,421661.1551,6678914.529,6456069.463,6172684.246,4800057.964,5456791.644,1854703.977,3826472.603,6035395.106,8265607.206,3580709.18
Mid,549145.878,439745.9633,423125.7633,6788279.98,6339591.328,6149731.269,4697684.008,5342678.22,1885529.565,3853602.223,5915344.615,8278660.749,3534577.45
Mid,547482.8839,447416.6613,421597.667,6624203.937,6600943.629,6333572.481,4787762.847,5247095.996,1935648.741,3875438.238,5928042.833,8483511.476,3434155.03
Mid,554274.7811,453592.5855,423171.7514,6630092.919,6602764.609,6220709.184,4752205.338,5469392.667,1897884.331,3822249.422,5880263.498,8578533.928,3529624.9
Mid,4277073.28,3876783.63,7087779.1,5858488.1,6945497.34,5577227.11,7000635.81,7913572.67,7006187.67,10051860.4,11424959.47,14051612.15,3380000
Mid,4333128.08,3793602.103,6983708.772,5768851.671,6773614.821,5714463.37,7000693.343,7836838.165,7016595.709,10293366.68,11651632.73,14386652.2,3331310.07
Mid,4240803.498,3938968.14,6935806.246,5726477.833,6781211.116,5670829.823,6920585.241,7933573.139,6899913.969,10101806.05,11231355.65,13891039.55,3321445.81
Mid,4354337.139,3938993.5,7074999.111,5716102.887,6872791.816,5685457.615,7097931.905,7825765.052,6891322.159,9971953.768,11690627.16,13816030.96,3351746.07
Mid,4376342.665,3971400.753,6944751.545,5913846.515,6778844.93,5642972.645,6839153.594,7830167.549,6903323.811,10123919.03,11255983.11,14062385.44,3321214.82
Mid,4372503.345,3967458.568,7080299.178,5900127.71,6859563.451,5575186.098,6998686.391,7975125.769,6851438.495,10036071.03,11652711.19,13804511.35,3297220.3
Mid,4230169.737,3875229.619,7187140.959,5986311.563,6912375.936,5536111.268,6903265.108,8014975.532,6937443.659,9939292.903,11479943.46,14021749.4,3320792.13
Mid,4215821.589,3819370.872,7151108.175,5829649.056,7035959.767,5617472.864,7164954.389,8090010.757,6924021.368,10078640.39,11459749.18,13737284.21,3333277.35
Mid,4241934.668,3891876.309,7219686.945,5827472.909,6811486.457,5663258.237,7171787.969,7892139.421,7150748.939,10051688.08,11270383.99,13758920.45,3447949.24
Mid,4280074.252,3838601.116,7251578.106,5716046.013,6940090.155,5638701.971,6976786.793,7832362.687,6964316.142,10003467.38,11259001.39,14161094.18,3342635.29
Mid,4200647.183,3897201.529,7107919.732,5753639.389,6854422.299,5694936.254,7155176.305,8034367.301,6961626.38,10270848.4,11418518.28,13995916.16,3407783.48
Mid,4174071.594,3784559.006,6913661.332,5727342.629,6905233.779,5628952.78,7167930.662,7859885.513,6893843.166,10154567.9,11470803.53,14391955.14,3358631.91
Mid,4314888.45,3850207.873,7031225.635,5771945.556,7057042.002,5649715.343,6855340.485,7944052.96,7057335.622,9869789.71,11187433.25,13779090.57,3411385.3
Mid,5545684.6,5033809.98,7266819.26,7718713.4,5675311,7688964.11,9861497.02,6254045.08,2074031.3,8001987.39,11062157.21,15069340.86,3290000
Mid,5419191.507,5013050.222,7440106.195,7859328.989,5610969.167,7499957.413,10091334.51,6398623.017,2112512.8,8096823.882,10841243.75,15367571.24,3232586.87
Mid,5489605.684,5097170.218,7256632.84,7674946.383,5622552.477,7626255.632,9693997.847,6134925.551,2106561.2,8042853.808,11033334.84,15059037.97,3348149.49
Mid,5529238.623,5021587.179,7139487.405,7544039.729,5588839.308,7526393.706,10069352.85,6382212.788,2037418.633,8084895.684,11261925.42,15155343.52,3274999.26
Mid,5430690.748,4995178.905,7090955.017,7857271.724,5766486.532,7553544.357,9805780.771,6297401.573,2053471.521,8090576.7,10796216.04,14742112.39,3252320.85
Mid,5590142.384,5027173.926,7342098.828,7661408.425,5638290.301,7880514.809,10101413.15,6395830.739,2125664.215,7928447.586,10900468.89,14915906.53,3241424.26
Mid,5595405.851,5032589.791,7422805.7,7655929.168,5616663.225,7609654.604,10092835.18,6385596.475,2088092.035,7995130.86,11261601.19,14816626.44,3256127.8
Mid,5647630.171,4992580.399,7331426.695,7653445.771,5740740.088,7847744.497,9790457.102,6329339.811,2094780.15,8007795.194,11330277.79,15352150.43,3222236.77
Mid,5669543.712,5026348.332,7135569.369,7599826.754,5709855.617,7774116.519,9641720.548,6352180.118,2031569.625,7959754.957,10807536.81,15096914.22,3214176.15
Mid,5617974.313,4960012.719,7355660.017,7679636.85,5545069.024,7856845.803,9711110.541,6157157.666,2099630.801,8076129.483,10965686.56,15390970.1,3263349.11
Mid,5554011.53,4928465.628,7200104.389,7898467.382,5602350.431,7744871.737,9809995.608,6401801.779,2027308.083,7903294.451,10897808.02,14877442.72,3307763.75
Mid,5414242.125,4994165.686,7297688.5,7783994.971,5545712.982,7498775.109,10005519.57,6302801.733,2072271.51,8180093.453,10906656.07,15059339.91,3325988.39
Mid,5467191.644,5033262.597,7129146.732,7529311.63,5542080.61,7875845,9764074.874,6228322.244,2041195.251,7933275.595,10835386.54,14765883.88,3301799.27
Mid,21310161.03,8397794.91,10303023.24,11021941.41,6445058.53,6386719.07,8138576.14,8013718.54,1975713.31,10984782,12066274.6,24099349,3820000
Mid,21080381.32,8217131.734,10422215.21,10748485.11,6409354.673,6392138.733,8205701.91,7972440.313,1994458.792,10875166.46,12027021.84,24114997.1,3895899.88
Mid,20894471.38,8460213.278,10317004.82,11031702.01,6292673.082,6511439.903,8013264.142,8146958.389,1932634.025,10936143.96,11862587.23,24415378.9,3802461.23
Mid,21794373.47,8409307.68,10119564.82,10896648.95,6294630.702,6286012.148,8052065.351,8121732.609,2000042.368,11181874.02,12297377.03,24358529.55,3726111.84
Mid,21198367.91,8486359.011,10215983.37,11084455,6313700.027,6367249.45,8120411.332,8054896.6,2020649.399,10787684.16,12213699.49,24136948.9,3866310.08
Mid,21746771.97,8563947.048,10513592.86,10994291.06,6577253.242,6505462.421,7960607.557,8113056.142,1959165.455,11105059.04,12240499.71,24519256.5,3870256.21
Mid,21611295.23,8486802.783,10230928.89,11275599.24,6534569.32,6390043.11,8017482.744,7849140.9,1946521.234,10838540,11914060.22,24335730.63,3750023.2
Mid,21678931.72,8224012.564,10426017.76,10942336.44,6546924.579,6542818.215,8305375.809,7873519.153,1932658.988,10968556.7,12301871.24,24577283.28,3907320.93
Mid,21634241.35,8596486.883,10101583.54,10838542.16,6363237.264,6338731.618,8331796.502,8034860.566,1949022.625,10796825.63,12152164.86,24381232.42,3785866.39
Mid,20833639.43,8591491.693,10104734.76,11115570.79,6428011.543,6312353.116,8176260.107,7848250.352,1939454.736,11011825.49,12364786.48,24502282.25,3886326.9
Mid,21631211.41,8255982.797,10442487.57,10819332.07,6565082.298,6454765.343,8106255.701,8090492.795,2016320.239,10892138.15,11907795.28,23663459.03,3781794.67
Mid,21216614.9,8430185.262,10536160.19,11238714.25,6502182.458,6394605.67,8168106.714,7937528.374,1958264.644,10866019.69,11794770.19,23982094.73,3896485.3
Mid,21246394,8280951.517,10509016.63,10917961.92,6364738.696,6520638.422,8311196.552,7931883.845,2020009.21,11228089.8,12129458.52,24084800.15,3760993.81
Mid,6153718.6,6121176.88,10226665.73,4960115.98,6451160.64,5394115.37,9054743.84,6839993.38,2147141.16,7218890.13,12739399.89,19280253.33,3740000
Mid,6034871.481,6216845.579,10353440.28,4874955.04,6554450.506,5278356.582,8988454.672,6728374.461,2129592.473,7231151.687,12469466.37,19167452.44,3670195.89
